date_time,heart_zone_id,total_minutes
2023-03-16T18:48,FAT_BURN,1
2023-03-16T18:49,FAT_BURN,1
2023-03-16T18:56,FAT_BURN,1
2023-03-17T09:53,FAT_BURN,1
2023-03-17T09:54,FAT_BURN,1
2023-03-17T09:55,FAT_BURN,1
2023-03-17T09:56,FAT_BURN,1
2023-03-17T09:57,FAT_BURN,1
2023-03-17T09:58,FAT_BURN,1
2023-03-17T10:00,FAT_BURN,1
2023-03-17T10:02,FAT_BURN,1
2023-03-17T10:06,FAT_BURN,1
2023-03-17T11:16,FAT_BURN,1
2023-03-17T11:20,FAT_BURN,1
2023-03-17T11:21,FAT_BURN,1
2023-03-17T11:22,FAT_BURN,1
2023-03-17T11:23,FAT_BURN,1
2023-03-17T12:38,FAT_BURN,1
2023-03-17T12:39,FAT_BURN,1
2023-03-17T12:40,FAT_BURN,1
2023-03-17T12:41,CARDIO,2
2023-03-17T12:42,CARDIO,2
2023-03-17T12:43,FAT_BURN,1
2023-03-17T12:44,FAT_BURN,1
2023-03-17T12:50,FAT_BURN,1
2023-03-17T12:51,FAT_BURN,1
2023-03-17T12:53,FAT_BURN,1
2023-03-17T12:54,FAT_BURN,1
2023-03-17T12:55,FAT_BURN,1
2023-03-17T14:38,FAT_BURN,1
2023-03-17T14:51,FAT_BURN,1
2023-03-17T14:52,FAT_BURN,1
2023-03-17T14:53,FAT_BURN,1
2023-03-17T14:54,FAT_BURN,1
2023-03-17T14:55,FAT_BURN,1
2023-03-17T14:56,FAT_BURN,1
2023-03-17T14:58,FAT_BURN,1
2023-03-17T14:59,FAT_BURN,1
2023-03-17T15:00,FAT_BURN,1
2023-03-17T15:01,FAT_BURN,1
2023-03-17T15:04,FAT_BURN,1
2023-03-17T15:05,FAT_BURN,1
2023-03-17T15:06,FAT_BURN,1
2023-03-17T15:07,FAT_BURN,1
2023-03-17T15:08,FAT_BURN,1
2023-03-17T15:47,FAT_BURN,1
2023-03-17T15:49,FAT_BURN,1
2023-03-17T15:50,FAT_BURN,1
2023-03-17T15:51,FAT_BURN,1
2023-03-17T15:52,FAT_BURN,1
2023-03-17T15:53,FAT_BURN,1
2023-03-17T15:54,FAT_BURN,1
2023-03-17T15:55,FAT_BURN,1
2023-03-17T15:56,FAT_BURN,1
2023-03-17T15:57,FAT_BURN,1
2023-03-17T15:58,FAT_BURN,1
2023-03-17T15:59,FAT_BURN,1
2023-03-17T16:02,FAT_BURN,1
2023-03-17T16:03,FAT_BURN,1
2023-03-17T16:04,FAT_BURN,1
2023-03-17T16:05,FAT_BURN,1
2023-03-17T16:06,FAT_BURN,1
2023-03-17T16:07,FAT_BURN,1
2023-03-17T16:08,FAT_BURN,1
2023-03-17T16:09,FAT_BURN,1
2023-03-17T16:13,FAT_BURN,1
2023-03-17T16:14,FAT_BURN,1
2023-03-17T16:15,FAT_BURN,1
2023-03-17T16:16,FAT_BURN,1
2023-03-17T16:17,FAT_BURN,1
2023-03-17T16:18,FAT_BURN,1
2023-03-17T16:20,FAT_BURN,1
2023-03-17T16:21,FAT_BURN,1
2023-03-17T16:22,FAT_BURN,1
2023-03-17T16:23,CARDIO,2
2023-03-17T16:24,CARDIO,2
2023-03-17T16:25,FAT_BURN,1
2023-03-17T16:26,FAT_BURN,1
2023-03-17T16:27,FAT_BURN,1
2023-03-17T16:28,FAT_BURN,1
2023-03-17T16:29,FAT_BURN,1
2023-03-17T16:30,FAT_BURN,1
2023-03-17T16:31,FAT_BURN,1
2023-03-17T16:32,FAT_BURN,1
2023-03-17T16:33,FAT_BURN,1
2023-03-17T16:36,FAT_BURN,1
2023-03-17T16:37,FAT_BURN,1
2023-03-17T16:38,FAT_BURN,1
2023-03-17T16:40,FAT_BURN,1
2023-03-17T16:41,FAT_BURN,1
2023-03-17T16:42,FAT_BURN,1
